STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/1/1948,2.7,0,0,74,67,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/2/1948,0.12,0,0,88,67,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/3/1948,0.13,0,0,87,70,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/4/1948,1.92,0,0,82,68,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/5/1948,0,0,0,80,66,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/6/1948,0,0,0,80,55,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/7/1948,0,0,0,82,56,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/8/1948,0,0,0,83,57,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/9/1948,0,0,0,85,58,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/10/1948,0,0,0,83,56,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/11/1948,0,0,0,86,62,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/12/1948,2.75,0,0,84,64,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/13/1948,0,0,0,89,61,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/14/1948,0,0,0,84,61,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/15/1948,0,0,0,87,57,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/16/1948,0,0,0,85,67,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/17/1948,0,0,0,83,57,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/18/1948,0,0,0,85,61,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/19/1948,1.25,0,0,84,60,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/20/1948,0.23,0,0,85,63,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/21/1948,0.02,0,0,82,61,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/22/1948,0,0,0,84,65,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/23/1948,0,0,0,88,63,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/24/1948,0,0,0,89,65,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/25/1948,0,0,0,95,71,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/26/1948,0,0,0,100,69,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/27/1948,0,0,0,100,69,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/28/1948,0,0,0,101,70,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/29/1948,0,0,0,100,72,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/30/1948,0,0,0,96,66,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",8/31/1948,0.58,0,0,80,64,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/1/1948,0,0,0,77,50,77,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/2/1948,0,0,0,82,48,82,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/3/1948,0,0,0,84,53,84,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/4/1948,0,0,0,85,60,83,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/5/1948,0,0,0,88,64,84,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/6/1948,0,0,0,86,60,80,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/7/1948,0.17,0,0,84,65,82,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/8/1948,0,0,0,87,66,84,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/9/1948,0,0,0,91,67,90,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/10/1948,1.5,0,0,90,62,64,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/11/1948,0.04,0,0,82,55,78,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/12/1948,0,0,0,87,57,85,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/13/1948,0,0,0,92,61,90,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/14/1948,0,0,0,92,67,83,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/15/1948,0,0,0,83,50,77,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/16/1948,0,0,0,79,50,75,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/17/1948,0,0,0,79,57,79,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/18/1948,0,0,0,90,64,87,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/19/1948,0,0,0,87,67,82,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/20/1948,0.2,0,0,90,64,88,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/21/1948,0.38,0,0,88,60,61,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/22/1948,0.71,0,0,70,52,70,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/23/1948,0,0,0,70,46,69,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/24/1948,0,0,0,70,50,64,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/25/1948,0,0,0,69,49,67,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/26/1948,0,0,0,73,42,70,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/27/1948,0,0,0,76,43,72,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/28/1948,0,0,0,72,49,71,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/29/1948,0,0,0,75,52,73,
USC00186350,"NATIONAL ARBORETUM DC, MD US",9/30/1948,1.14,0,0,77,63,76,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/1/1948,0,0,0,82,63,76,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/2/1948,0,0,0,79,56,76,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/3/1948,0,0,0,76,56,64,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/4/1948,0,0,0,64,47,56,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/5/1948,1.2,0,0,56,47,50,
